Event	ID	Name			Wwise Object Path	Notes
	228122833	Ablilty_Greed_CoinBetting			\Default Work Unit\SFX\Ablilty\Greed\Ablilty_Greed_CoinBetting	
	307190599	Ablilty_Luxuria_FascinatingMelody			\Default Work Unit\SFX\Ablilty\Luxuria\Ablilty_Luxuria_FascinatingMelody	
	359925860	Ablilty_Jealousy_SwordDance			\Default Work Unit\SFX\Ablilty\Jealousy\Ablilty_Jealousy_SwordDance	
	394947470	Ablilty_Pride_rush			\Default Work Unit\SFX\Ablilty\Pride\Ablilty_Pride_rush	
	772338355	Ablilty_Pride_warrant			\Default Work Unit\SFX\Ablilty\Pride\Ablilty_Pride_warrant	
	871723078	Ablilty_Luxuria_Doppelganger			\Default Work Unit\SFX\Ablilty\Luxuria\Ablilty_Luxuria_Doppelganger	
	1047829572	Ablilty_Fury_Meteor			\Default Work Unit\SFX\Ablilty\Fury\Ablilty_Fury_Meteor	
	1162641783	Text_Stop			\Default Work Unit\UI\Log\Text_Stop	
	1246132400	Luxuria_Stage			\Default Work Unit\AMB\Luxuria_Stage	
	1545538756	Ablilty_Greed_Joker			\Default Work Unit\SFX\Ablilty\Greed\Ablilty_Greed_Joker	
	1570168993	Ablilty_Greed_shuffle_R			\Default Work Unit\SFX\Ablilty\Greed\Ablilty_Greed_shuffle_R	
	1799481692	Sloth_Stage			\Default Work Unit\AMB\Sloth_Stage	
	1813255844	Ablilty_Luxuria_LilithKiss			\Default Work Unit\SFX\Ablilty\Luxuria\Ablilty_Luxuria_LilithKiss	
	1866025847	FootStep			\Default Work Unit\SFX\General\FootStep	
	1955875006	Ablilty_Fury_FireBreath			\Default Work Unit\SFX\Ablilty\Fury\Ablilty_Fury_FireBreath	
	2071326854	Ablilty_Jealousy_WanderingWave			\Default Work Unit\SFX\Ablilty\Jealousy\Ablilty_Jealousy_WanderingWave	
	2090192256	BGM_Stop			\Default Work Unit\BGM\BGM_Stop	
	2106314190	Ablilty_Pride_DivinePunishment			\Default Work Unit\SFX\Ablilty\Pride\Ablilty_Pride_DivinePunishment	
	2701357099	Sloth_Stage_Stop			\Default Work Unit\AMB\Sloth_Stage_Stop	
	2850796585	Ablilty_Pride_glare			\Default Work Unit\SFX\Ablilty\Pride\Ablilty_Pride_glare	
	2915978152	Ablilty_Jealousy_Ouroboros			\Default Work Unit\SFX\Ablilty\Jealousy\Ablilty_Jealousy_Ouroboros	
	2972449336	Text			\Default Work Unit\UI\Log\Text	
	3563496934	Ablilty_Greed_CoinRain			\Default Work Unit\SFX\Ablilty\Greed\Ablilty_Greed_CoinRain	
	3584414616	BGM_gameover			\Default Work Unit\BGM\BGM_gameover	
	3819148614	Luxuria_Field			\Default Work Unit\BGM\Luxuria_Field	
	3838459994	Ablilty_Luxuria_Tingling			\Default Work Unit\SFX\Ablilty\Luxuria\Ablilty_Luxuria_Tingling	
	3956129242	Sloth_Field			\Default Work Unit\BGM\Sloth_Field	

Switch Group	ID	Name			Wwise Object Path	Notes
	3865314626	Material			\Default Work Unit\SFX\Foot\Material	

Switch	ID	Name	Switch Group			Notes
	602500964	General_FootStep	Material			

Game Parameter	ID	Name			Wwise Object Path	Notes
	151362964	PlayerHealth			\Default Work Unit\PlayerHealth	

Effect plug-ins	ID	Name	Type				Notes
	2995775460	Room_Small	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	619626	SFX_Player_Ablilty_Luxuria_FascinatingMelody	C:\Users\Hyeon2-400\Desktop\Sound\.cache\Windows\SFX\SFX_Player_Ablilty_Luxuria_FascinatingMelody_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Ability\Luxuria\Ablilty_Luxuria_FascinatingMelody\SFX_Player_Ablilty_Luxuria_FascinatingMelody		134496
	10425342	SFX_Player_Ablilty_Pride_DivinePunishment01	C:\Users\Hyeon2-400\Desktop\Sound\.cache\Windows\SFX\SFX_Player_Ablilty_Pride_DivinePunishment01_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Ability\Pride\Ablilty_Pride_DivinePunishment\SFX_Player_Ablilty_Pride_DivinePunishment01		103048
	25129226	idk1	C:\Users\Hyeon2-400\Desktop\Sound\.cache\Windows\SFX\idk1_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Click\idk1		384096
	59656659	SFX_UI_button_Hover	C:\Users\Hyeon2-400\Desktop\Sound\.cache\Windows\SFX\SFX_UI_button_Hover_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Button_Hover\SFX_UI_button_Hover		9396
	63220623	clcik3	C:\Users\Hyeon2-400\Desktop\Sound\.cache\Windows\SFX\clcik3_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Click\clcik3		21912
	70255767	SFX_General_Object_destroy02	C:\Users\Hyeon2-400\Desktop\Sound\.cache\Windows\SFX\SFX_General_Object_destroy02_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\General\Broken\SFX_General_Object_destroy02		36788
	71992266	ui_button_simple_click_07	C:\Users\Hyeon2-400\Desktop\Sound\.cache\Windows\SFX\ui_button_simple_click_07_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Click\ui_button_simple_click_07		18736
	79552758	2nd field	C:\Users\Hyeon2-400\Desktop\Sound\.cache\Windows\SFX\2nd field_1FFCA551.wem		\Actor-Mixer Hierarchy\Default Work Unit\BGM\Stage_2\2nd field		21719180
	85626295	Foot_Tile_BootWalk08	C:\Users\Hyeon2-400\Desktop\Sound\.cache\Windows\SFX\Foot_Tile_BootWalk08_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\General\Foot\FootWalk\Foot_Tile_BootWalk08		28218
	94516326	SFX_Player_Ablilty_Jealousy_Ouroboros	C:\Users\Hyeon2-400\Desktop\Sound\.cache\Windows\SFX\SFX_Player_Ablilty_Jealousy_Ouroboros_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Ability\Jealousy\Ablilty_Jealousy_Ouroboros\SFX_Player_Ablilty_Jealousy_Ouroboros		202852
	138226317	SFX_Player_Ablilty_Jealousy_WanderingWave (1)	C:\Users\Hyeon2-400\Desktop\Sound\.cache\Windows\SFX\SFX_Player_Ablilty_Jealousy_WanderingWave (1)_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Ability\Jealousy\Ablilty_Jealousy_WanderingWave\SFX_Player_Ablilty_Jealousy_WanderingWave (1)		183314
	155649356	Foot_Tile_BootWalk07	C:\Users\Hyeon2-400\Desktop\Sound\.cache\Windows\SFX\Foot_Tile_BootWalk07_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\General\Foot\FootWalk\Foot_Tile_BootWalk07		25118
	170126801	SFX_Player_Ablilty_Sloth_Overclocking	C:\Users\Hyeon2-400\Desktop\Sound\.cache\Windows\SFX\SFX_Player_Ablilty_Sloth_Overclocking_0F56A827.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Ability\Sloth\Ablilty_Sloth_Overclocking\SFX_Player_Ablilty_Sloth_Overclocking		81004
	174567308	SFX_Player_Ablilty_Sloth_L-Bullet_hit (3)	C:\Users\Hyeon2-400\Desktop\Sound\.cache\Windows\SFX\SFX_Player_Ablilty_Sloth_L-Bullet_hit (3)_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Ability\Sloth\Ablilty_Sloth_L-Bullet\L-Bullet_hit\SFX_Player_Ablilty_Sloth_L-Bullet_hit (3)		65952
